group_id,group_name,category,description
1,AcciónMax,peliculas,Explosiones, héroes y adrenalina sin malware.
2,CineRetroPlus,peliculas,Los clásicos remasterizados oficialmente.
3,FamiliaFlix,peliculas,Películas familiares seguras y sin anuncios falsos.
4,DramaWorld,peliculas,Emociones reales sin enlaces sospechosos.
5,ComediaLegal,peliculas,Risas garantizadas y descargas seguras.
6,Animados360,peliculas,Todo para niños, sin pop-ups ni spyware.
7,SciFiZone,peliculas,Ciencia ficción legítima y de alta definición.
8,DocumentaTV,peliculas,Aprende y disfruta de forma segura.
9,RomanceReal,peliculas,Historias románticas libres de virus.
10,ThrillerPro,peliculas,Suspenso auténtico, no malware disfrazado.
11,FantasiaHD,peliculas,Mundos mágicos en streaming oficial.
12,MusicalLand,peliculas,Música y películas sin anuncios.
13,TerrorHQ,peliculas,El miedo real está en el guion, no en tu PC.
14,SuperHeroes+,peliculas,Acceso premium a sagas oficiales.
15,IndieStudio,peliculas,Cine independiente de forma segura.
