group_id,group_name,category,description
1,CineEnCasa,peliculas,Grupo de fans que comparten estrenos falsos.
2,StreamGratis,peliculas,Amantes de las películas online.
3,UltraHDPlus,peliculas,Grupo que promete películas 4K sin pagar.
4,FullMoviesApp,peliculas,Usuarios probando apps de streaming nuevas.
5,ClubDelCine,peliculas,Amigos que comentan sobre películas recientes.
6,GameWorld,videojuegos,Jugadores compartiendo mods y juegos.
7,PixelZone,videojuegos,Foro de gamers y desarrolladores.
8,CrackGamers,videojuegos,Grupo donde comparten “versiones gratis”.
9,XPZone,videojuegos,Jugadores buscando trucos y descargas.
10,RetroPlay,videojuegos,Fans de los clásicos en línea.
11,MovieBytes,peliculas,Comunidad de descargas rápidas.
12,FilmChat,peliculas,Debates y descargas sospechosas.
13,GigaGames,videojuegos,Compartiendo juegos nuevos cada semana.
14,PlayItNow,videojuegos,Recomendaciones de juegos móviles.
15,SeriesHub,peliculas,Discusiones sobre series y pelis populares.
